Team,Year,Seed,Region,Bid type,Coach,Record,Eliminated,Round Reached
Davidson,1998,14,South,Automatic Qualifier,Bob McKillop,20-10,1,First Round
Davidson,1986,16,Southeast,Automatic Qualifier,Bobby Hussey,20-11,1,First Round
Dayton,2017,7,South,At Large,Archie Miller,24-8,1,First Round
Dayton,2016,7,Midwest,At Large,Archie Miller,-,1,First Round
Dayton,2015,11,East,At Large,Archie Miller,-,2,Second Round
Dayton,2014,11,South,At Large,Archie Miller,26-11,4,Elite Eight
Dayton,2009,11,Midwest,At Large,Brian Gregory,27-8,2,Second Round
Dayton,2004,10,West,At Large,Brian Gregory,24-9,1,First Round
Dayton,2003,4,Midwest,Automatic Qualifier,Oliver Purnell,24-6,1,First Round
Dayton,2000,11,West,At Large,Oliver Purnell,22-9,1,First Round
Dayton,1990,12,Midwest,Automatic Qualifier,Jim O'Brien,22-10,2,Second Round
Dayton,1985,9,Southeast,At Large,Don Donoher,19-10,1,First Round
Delaware,2014,13,East,Automatic Qualifier,Monte Ross,25-10,1,First Round
Delaware,1999,13,East,Automatic Qualifier,Mike Brey,25-6,1,First Round
Delaware,1998,15,Midwest,Automatic Qualifier,Mike Brey,20-10,1,First Round
Delaware,1993,13,Midwest,Automatic Qualifier,Steve Steinwedel,22-8,1,First Round
Delaware,1992,13,Midwest,Automatic Qualifier,Steve Steinwedel,27-4,1,First Round
Delaware State,2005,16,South,Automatic Qualifier,Greg Jackson,19-14,1,First Round
DePaul,2004,7,West,At Large,Dave Leitao,22-10,2,Second Round
DePaul,2000,9,East,At Large,Pat Kennedy,21-12,1,First Round
DePaul,1992,5,West,At Large,Joey Meyer,20-9,1,First Round
DePaul,1991,9,Midwest,At Large,Joey Meyer,20-9,1,First Round
DePaul,1989,12,West,At Large,Joey Meyer,21-12,2,Second Round
DePaul,1988,5,Midwest,At Large,Joey Meyer,22-8,2,Second Round
DePaul,1987,3,Midwest,At Large,Joey Meyer,28-3,3,Sweet 16
DePaul,1986,12,East,At Large,Joey Meyer,18-13,3,Sweet 16
DePaul,1985,10,East,At Large,Joey Meyer,19-10,1,First Round
Detroit,2012,15,Midwest,Automatic Qualifier,Ray McCallum,22-14,1,First Round
Detroit,1999,12,South,Automatic Qualifier,Perry Watson,25-6,2,Second Round
Detroit,1998,10,Midwest,At Large,Perry Watson,25-6,2,Second Round
Drake,2008,5,West,Automatic Qualifier,Keno Davis,28-5,1,First Round
Drexel,1996,12,West,Automatic Qualifier,Bill Herrion,27-4,2,Second Round
Drexel,1995,13,East,Automatic Qualifier,Bill Herrion,22-8,1,First Round
Drexel,1994,13,East,Automatic Qualifier,Bill Herrion,25-5,1,First Round
Drexel,1986,15,West,Automatic Qualifier,Eddie Burke,19-12,1,First Round
Duke,2017,2,East,Automatic Qualifier,Mike Krzyzewski,28-9,2,Second Round
Duke,2016,4,West,At Large,Mike Krzyzewski,-,3,Sweet 16
Duke,2015,1,South,At Large,Mike Krzyzewski,-,6,National Championship
Duke,2014,3,Midwest,At Large,Mike Krzyzewski,26-9,1,First Round
Duke,2013,2,Midwest,At Large,Mike Krzyzewski,30-6,4,Elite Eight
Duke,2012,2,South,At Large,Mike Krzyzewski,27-7,1,First Round
Duke,2011,1,West,Automatic Qualifier,Mike Krzyzewski,32-5,3,Sweet 16
Duke,2010,1,South,Automatic Qualifier,Mike Krzyzewski,35-5,6,National Championship
Duke,2009,2,East,Automatic Qualifier,Mike Krzyzewski,30-7,3,Sweet 16
Duke,2008,2,West,At Large,Mike Krzyzewski,28-6,2,Second Round
Duke,2007,6,West,At Large,Mike Krzyzewski,22-11,1,First Round
Duke,2006,1,South,Automatic Qualifier,Mike Krzyzewski,31-4,3,Sweet 16
Duke,2005,1,South,Automatic Qualifier,Mike Krzyzewski,27-6,3,Sweet 16
Duke,2004,1,South,At Large,Mike Krzyzewski,31-6,5,Final Four
Duke,2003,3,West,Automatic Qualifier,Mike Krzyzewski,26-7,3,Sweet 16
Duke,2002,1,South,Automatic Qualifier,Mike Krzyzewski,31-4,3,Sweet 16
Duke,2001,1,East,Automatic Qualifier,Mike Krzyzewski,35-4,6,National Championship
Duke,2000,1,East,Automatic Qualifier,Mike Krzyzewski,29-5,3,Sweet 16
Duke,1999,1,East,Automatic Qualifier,Mike Krzyzewski,37-2,6,National Championship
Duke,1998,1,South,At Large,Mike Krzyzewski,32-4,4,Elite Eight
Duke,1997,2,Southeast,At Large,Mike Krzyzewski,24-9,2,Second Round
Duke,1996,8,Southeast,At Large,Mike Krzyzewski,18-13,1,First Round
Duke,1994,2,Southeast,At Large,Mike Krzyzewski,28-6,6,National Championship
Duke,1993,3,Midwest,At Large,Mike Krzyzewski,24-8,2,Second Round
Duke,1992,1,East,Automatic Qualifier,Mike Krzyzewski,34-2,6,National Championship
Duke,1991,2,Midwest,At Large,Mike Krzyzewski,32-7,6,National Championship
Duke,1990,3,East,At Large,Mike Krzyzewski,29-9,6,National Championship
Duke,1989,2,East,At Large,Mike Krzyzewski,28-8,5,Final Four
Duke,1988,2,East,Automatic Qualifier,Mike Krzyzewski,28-7,5,Final Four
Duke,1987,5,Midwest,At Large,Mike Krzyzewski,24-9,3,Sweet 16
Duke,1986,1,East,Automatic Qualifier,Mike Krzyzewski,37-3,6,National Championship
Duke,1985,3,Midwest,At Large,Mike Krzyzewski,23-8,2,Second Round
East Carolina,1993,16,East,Automatic Qualifier,Eddie Payne,13-17,1,First Round
East Tennessee State,2017,13,East,Automatic Qualifier,Steve Forbes,27-8,1,First Round
East Tennessee State,2010,16,East,Automatic Qualifier,Murry Bartow,20-15,1,First Round
East Tennessee State,2009,16,East,Automatic Qualifier,Murry Bartow,23-11,1,First Round
East Tennessee State,2004,13,South,Automatic Qualifier,Murry Bartow,27-6,1,First Round
East Tennessee State,2003,15,East,Automatic Qualifier,Ed DeChellis,20-11,1,First Round
East Tennessee State,1992,14,Southeast,Automatic Qualifier,Alan LeForce,24-7,2,Second Round
East Tennessee State,1991,10,Midwest,Automatic Qualifier,Alan LeForce,28-5,1,First Round
East Tennessee State,1990,13,Southeast,Automatic Qualifier,Les Robinson,27-7,1,First Round
East Tennessee State,1989,16,Southeast,Automatic Qualifier,Les Robinson,20-11,1,First Round
Eastern Illinois,2001,15,Midwest,Automatic Qualifier,Rick Samuels,21-10,1,First Round
Eastern Illinois,1992,15,West,Automatic Qualifier,Rick Samuels,17-14,1,First Round
Eastern Kentucky,2014,15,South,Automatic Qualifier,Jeff Neubauer,25-10,1,First Round
Eastern Kentucky,2007,16,East,Automatic Qualifier,Jeff Neubauer,21-12,1,First Round
Eastern Kentucky,2005,15,South,Automatic Qualifier,Travis Ford,22-9,1,First Round
Eastern Michigan,1998,13,East,Automatic Qualifier,Milton Barnes,20-10,1,First Round
Eastern Michigan,1996,9,Southeast,Automatic Qualifier,Ben Braun,25-6,2,Second Round
Eastern Michigan,1991,12,East,Automatic Qualifier,Ben Braun,26-7,3,Sweet 16
Eastern Michigan,1988,15,Midwest,Automatic Qualifier,Ben Braun,22-8,1,First Round
Eastern Washington,2015,13,South,Automatic Qualifier,Jim Hayford,-,1,First Round
Eastern Washington,2004,15,East,Automatic Qualifier,Ray Giacoletti,17-13,1,First Round
Evansville,1999,11,Midwest,At Large,Jim Crews,23-10,1,First Round
Evansville,1993,14,Southeast,Automatic Qualifier,Jim Crews,23-7,1,First Round
Evansville,1992,8,Midwest,Automatic Qualifier,Jim Crews,24-6,1,First Round
Evansville,1989,11,West,At Large,Jim Crews,25-6,2,Second Round
Fairfield,1997,16,East,Automatic Qualifier,Paul Cormier,11-19,1,First Round
Fairfield,1987,16,Midwest,Automatic Qualifier,Mitch Buonaguro,15-16,1,First Round
Fairfield,1986,13,Southeast,Automatic Qualifier,Mitch Buonaguro,24-7,1,First Round
Fairleigh Dickinson,2016,16,East,Automatic Qualifier,Greg Herenda,18-15,0,Play-In
Fairleigh Dickinson,2005,16,Midwest,Automatic Qualifier,Tom Green,20-13,1,First Round
Fairleigh Dickinson,1998,15,East,Automatic Qualifier,Tom Green,23-7,1,First Round
Fairleigh Dickinson,1988,16,Midwest,Automatic Qualifier,Tom Green,23-7,1,First Round
Fairleigh Dickinson,1985,16,Southeast,Automatic Qualifier,Tom Green,21-10,1,First Round
Florida,2017,4,East,At Large,Michael White,27-9,4,Elite Eight
Florida,2014,1,South,Automatic Qualifier,Billy Donovan,36-3,5,Final Four
Florida,2013,3,South,Automatic Qualifier,Billy Donovan,29-8,4,Elite Eight
Florida,2012,7,West,At Large,Billy Donovan,26-11,4,Elite Eight
Florida,2011,2,Southeast,At Large,Billy Donovan,29-8,4,Elite Eight
Florida,2010,10,West,At Large,Billy Donovan,21-13,1,First Round
Florida,2007,1,Midwest,Automatic Qualifier,Billy Donovan,35-5,6,National Championship
Florida,2006,3,Midwest,Automatic Qualifier,Billy Donovan,33-6,6,National Championship
Florida,2005,4,East,Automatic Qualifier,Billy Donovan,24-8,2,Second Round
Florida,2004,5,East,At Large,Billy Donovan,20-11,1,First Round
Florida,2003,2,South,At Large,Billy Donovan,25-8,2,Second Round
Florida,2002,5,Midwest,At Large,Billy Donovan,22-9,1,First Round
Florida,2001,3,South,At Large,Billy Donovan,24-7,2,Second Round
Florida,2000,5,East,At Large,Billy Donovan,29-8,6,National Championship
Florida,1999,6,West,At Large,Billy Donovan,22-9,3,Sweet 16
Florida,1995,10,Southeast,At Large,Lon Kruger,17-13,1,First Round
Florida,1994,3,East,At Large,Lon Kruger,29-8,5,Final Four
Florida,1989,7,Midwest,At Large,Norm Sloan,21-13,1,First Round
Florida,1988,6,West,At Large,Norm Sloan,23-12,2,Second Round
Florida,1987,6,East,At Large,Norm Sloan,23-11,3,Sweet 16
Florida A&M,2007,16,West,Automatic Qualifier,Mike Gillespie,21-14,0,Play-In
Florida A&M,2004,16,Midwest,Automatic Qualifier,Mike Gillespie,15-17,1,First Round
Florida A&M,1999,16,East,Automatic Qualifier,Mickey Clayton,12-19,1,First Round
Florida Atlantic,2002,15,South,Automatic Qualifier,Sidney Green,19-12,1,First Round
Florida Gulf Coast,2017,14,West,Automatic Qualifier,Joe Dooley,26-8,1,First Round
Florida Gulf Coast,2016,16,East,Automatic Qualifier,Joe Dooley,-,1,First Round
Florida Gulf Coast,2013,15,South,Automatic Qualifier,Andy Enfield,26-11,3,Sweet 16
Florida International,1995,16,West,Automatic Qualifier,Bob Weltlich,11-19,1,First Round
Florida State,2017,3,West,At Large,Leonard Hamilton,26-9,2,Second Round
Florida State,2012,3,East,Automatic Qualifier,Leonard Hamilton,25-10,2,Second Round
Florida State,2011,10,Southwest,At Large,Leonard Hamilton,23-11,3,Sweet 16
Florida State,2010,9,West,At Large,Leonard Hamilton,22-10,1,First Round
Florida State,2009,5,East,At Large,Leonard Hamilton,25-10,1,First Round
Florida State,1998,12,Midwest,At Large,Steve Robinson,18-14,2,Second Round
Florida State,1993,3,Southeast,At Large,Pat Kennedy,25-10,4,Elite Eight
Florida State,1992,3,West,At Large,Pat Kennedy,22-10,3,Sweet 16
Florida State,1991,7,Southeast,Automatic Qualifier,Pat Kennedy,21-11,2,Second Round
Florida State,1989,4,Southeast,At Large,Pat Kennedy,22-8,1,First Round
Florida State,1988,12,West,At Large,Pat Kennedy,19-11,1,First Round
Fordham,1992,14,East,Automatic Qualifier,Nick Macarchuk,18-13,1,First Round
Fresno State,2016,14,Midwest,Automatic Qualifier,Rodney Terry,-,1,First Round
Fresno State,2001,9,South,At Large,Jerry Tarkanian,26-7,2,Second Round
Fresno State,2000,9,West,At Large,Jerry Tarkanian,24-10,1,First Round
George Mason,2011,8,East,At Large,Jim Larranaga,27-7,2,Second Round
George Mason,2008,12,East,Automatic Qualifier,Jim Larranaga,23-11,1,First Round
George Mason,2006,11,East,At Large,Jim Larranaga,27-8,5,Final Four
George Mason,2001,14,West,Automatic Qualifier,Jim Larranaga,18-12,1,First Round
George Mason,1999,14,East,Automatic Qualifier,Jim Larranaga,19-11,1,First Round
George Mason,1989,15,West,Automatic Qualifier,Ernie Nestor,20-11,1,First Round
George Washington,2014,9,East,At Large,Mike Lonergan,24-9,1,First Round
George Washington,2007,11,East,Automatic Qualifier,Karl Hobbs,23-9,1,First Round
George Washington,2006,8,South,At Large,Karl Hobbs,27-3,2,Second Round
George Washington,2005,12,West,Automatic Qualifier,Karl Hobbs,22-8,1,First Round
George Washington,1999,11,Midwest,At Large,Tom Penders,20-9,1,First Round
George Washington,1998,9,South,At Large,Tom Penders,24-9,1,First Round
George Washington,1996,11,West,At Large,Mike Jarvis,21-8,1,First Round
George Washington,1994,10,East,At Large,Mike Jarvis,18-12,2,Second Round
George Washington,1993,12,West,At Large,Mike Jarvis,21-9,3,Sweet 16
Georgetown,2015,4,South,At Large,John Thompson III,-,2,Second Round
Georgetown,2013,2,South,At Large,John Thompson III,25-7,1,First Round
Georgetown,2012,3,Midwest,At Large,John Thompson III,24-9,2,Second Round
Georgetown,2011,6,Southwest,Automatic Qualifier,John Thompson III,21-11,1,First Round
Georgetown,2010,3,Midwest,At Large,John Thompson III,23-11,1,First Round
Georgetown,2008,2,Midwest,At Large,John Thompson III,28-6,2,Second Round
Georgetown,2007,2,East,Automatic Qualifier,John Thompson III,30-7,5,Final Four
Georgetown,2006,7,Midwest,At Large,John Thompson III,23-10,3,Sweet 16
Georgetown,2001,10,West,At Large,Craig Esherick,25-8,3,Sweet 16
Georgetown,1997,10,West,At Large,John Thompson,20-10,1,First Round
Georgetown,1996,2,East,At Large,John Thompson,29-8,4,Elite Eight
Georgetown,1995,6,Southeast,At Large,John Thompson,21-10,3,Sweet 16
Georgetown,1994,9,Midwest,At Large,John Thompson,19-12,2,Second Round
Georgetown,1992,6,West,At Large,John Thompson,22-10,2,Second Round
Georgetown,1991,8,West,At Large,John Thompson,19-13,2,Second Round
Georgetown,1990,3,Midwest,At Large,John Thompson,24-7,2,Second Round
Georgetown,1989,1,East,Automatic Qualifier,John Thompson,29-5,4,Elite Eight
Georgetown,1988,8,East,At Large,John Thompson,20-10,2,Second Round
Georgetown,1987,1,Southeast,Automatic Qualifier,John Thompson,29-5,4,Elite Eight
Georgetown,1986,4,Midwest,At Large,John Thompson,24-8,2,Second Round
Georgetown,1985,1,East,Automatic Qualifier,John Thompson,35-3,6,National Championship
Georgia,2015,10,East,At Large,Mark Fox,-,1,First Round
Georgia,2011,10,East,At Large,Mark Fox,21-12,1,First Round
Georgia,2008,14,West,Automatic Qualifier,Dennis Felton,17-17,1,First Round
Georgia,2002,3,East,At Large,Jim Harrick,22-10,2,Second Round
Georgia,2001,8,East,At Large,Jim Harrick,16-15,1,First Round
Georgia,1997,3,Southeast,At Large,Tubby Smith,24-9,1,First Round
Georgia,1996,8,West,At Large,Tubby Smith,21-10,3,Sweet 16
Georgia,1991,11,Southeast,At Large,Hugh Durham,17-13,1,First Round
Georgia,1990,7,Midwest,At Large,Hugh Durham,20-9,1,First Round
Georgia,1987,8,West,At Large,Hugh Durham,18-12,1,First Round
Georgia,1985,6,East,At Large,Hugh Durham,22-9,2,Second Round
Georgia Southern,1992,15,Southeast,Automatic Qualifier,Frank Kerns,25-6,1,First Round
Georgia Southern,1987,15,East,Automatic Qualifier,Frank Kerns,20-11,1,First Round
Georgia State,2015,14,West,Automatic Qualifier,Ron Hunter,-,2,Second Round
Georgia State,2001,11,West,Automatic Qualifier,Lefty Driesell,29-5,2,Second Round
Georgia State,1991,16,Southeast,Automatic Qualifier,Bill Reinhart,16-15,1,First Round
Georgia Tech,2010,10,Midwest,At Large,Paul Hewitt,23-13,2,Second Round
Georgia Tech,2007,10,Midwest,At Large,Paul Hewitt,20-12,1,First Round
Georgia Tech,2005,5,West,At Large,Paul Hewitt,20-12,2,Second Round
Georgia Tech,2004,3,Midwest,At Large,Paul Hewitt,28-10,6,National Championship
Georgia Tech,2001,8,West,At Large,Paul Hewitt,17-13,1,First Round
Georgia Tech,1996,3,Southeast,At Large,Bobby Cremins,24-12,3,Sweet 16
Georgia Tech,1993,4,West,Automatic Qualifier,Bobby Cremins,19-11,1,First Round
Georgia Tech,1992,7,Midwest,At Large,Bobby Cremins,23-12,3,Sweet 16
Georgia Tech,1991,8,Midwest,At Large,Bobby Cremins,17-13,2,Second Round
Georgia Tech,1990,4,Southeast,Automatic Qualifier,Bobby Cremins,28-7,5,Final Four
Georgia Tech,1989,6,Midwest,At Large,Bobby Cremins,20-12,1,First Round
Georgia Tech,1988,5,East,At Large,Bobby Cremins,22-10,2,Second Round
Georgia Tech,1987,7,Midwest,At Large,Bobby Cremins,16-13,1,First Round
Georgia Tech,1986,2,Southeast,At Large,Bobby Cremins,27-7,3,Sweet 16
Georgia Tech,1985,2,East,Automatic Qualifier,Bobby Cremins,27-8,4,Elite Eight
Gonzaga,2017,1,West,Automatic Qualifier,Mark Few,37-2,6,National Championship
Gonzaga,2016,11,Midwest,Automatic Qualifier,Mark Few,-,3,Sweet 16
Gonzaga,2015,2,South,Automatic Qualifier,Mark Few,-,4,Elite Eight
Gonzaga,2014,8,West,Automatic Qualifier,Mark Few,29-7,2,Second Round
Gonzaga,2013,1,West,Automatic Qualifier,Mark Few,32-3,2,Second Round
Gonzaga,2012,7,East,At Large,Mark Few,26-7,2,Second Round
Gonzaga,2011,11,Southeast,Automatic Qualifier,Mark Few,25-10,2,Second Round
Gonzaga,2010,8,West,At Large,Mark Few,27-7,2,Second Round
Gonzaga,2009,4,South,Automatic Qualifier,Mark Few,28-6,3,Sweet 16
Gonzaga,2008,7,Midwest,At Large,Mark Few,25-8,1,First Round
Gonzaga,2007,10,West,Automatic Qualifier,Mark Few,23-11,1,First Round
Gonzaga,2006,3,West,Automatic Qualifier,Mark Few,29-4,3,Sweet 16
Gonzaga,2005,3,West,Automatic Qualifier,Mark Few,26-5,2,Second Round
Gonzaga,2004,2,Midwest,Automatic Qualifier,Mark Few,28-3,2,Second Round
Gonzaga,2003,9,West,At Large,Mark Few,24-9,2,Second Round
Gonzaga,2002,6,West,Automatic Qualifier,Mark Few,29-4,1,First Round
Gonzaga,2001,12,South,Automatic Qualifier,Mark Few,26-7,3,Sweet 16
Gonzaga,2000,10,West,Automatic Qualifier,Mark Few,26-9,3,Sweet 16
Gonzaga,1999,10,West,Automatic Qualifier,Dan Monson,28-7,4,Elite Eight
Gonzaga,1995,14,West,Automatic Qualifier,Dan Fitzgerald,21-9,1,First Round
Green Bay,2016,14,West,Automatic Qualifier,Linc Darner,-,1,First Round
Green Bay,1996,8,Midwest,At Large,Mike Heideman,25-4,1,First Round
Green Bay,1995,14,Midwest,Automatic Qualifier,Dick Bennett,22-8,1,First Round
Green Bay,1994,12,West,Automatic Qualifier,Dick Bennett,27-7,2,Second Round
Green Bay,1991,12,West,Automatic Qualifier,Dick Bennett,24-7,1,First Round
Hampton,2016,16,Midwest,Automatic Qualifier,Edward Joyner Jr.,-,1,First Round
Hampton,2015,16,Midwest,Automatic Qualifier,Edward Joyner Jr.,-,1,First Round
Hampton,2011,16,West,Automatic Qualifier,Edward Joyner Jr.,24-9,1,First Round
Hampton,2006,16,Midwest,Automatic Qualifier,Bobby Collins,16-16,0,Play-In
Hampton,2002,15,East,Automatic Qualifier,Steve Merfeld,25-7,1,First Round
Hampton,2001,15,West,Automatic Qualifier,Steve Merfeld,25-7,2,Second Round
Harvard,2015,13,West,Automatic Qualifier,Tommy Amaker,-,1,First Round
Harvard,2014,12,East,Automatic Qualifier,Tommy Amaker,27-5,2,Second Round
Harvard,2013,14,West,Automatic Qualifier,Tommy Amaker,20-10,2,Second Round
Harvard,2012,12,East,Automatic Qualifier,Tommy Amaker,26-5,1,First Round
Hawaii,2016,13,South,Automatic Qualifier,Eran Ganot,-,2,Second Round
Hawaii,2002,10,West,Automatic Qualifier,Riley Wallace,27-6,1,First Round
Hawaii,2001,12,Midwest,Automatic Qualifier,Riley Wallace,17-14,1,First Round
Hawaii,1994,13,West,Automatic Qualifier,Riley Wallace,19-14,1,First Round
Hofstra,2001,13,East,Automatic Qualifier,Jay Wright,26-5,1,First Round
Hofstra,2000,14,East,Automatic Qualifier,Jay Wright,24-7,1,First Round
Holy Cross,2016,16,West,Automatic Qualifier,Bill Carmody,15-20,1,First Round
Holy Cross,2007,13,West,Automatic Qualifier,Ralph Willard,25-9,1,First Round
Holy Cross,2003,14,Midwest,Automatic Qualifier,Ralph Willard,26-5,1,First Round
Holy Cross,2002,16,Midwest,Automatic Qualifier,Ralph Willard,18-15,1,First Round
Holy Cross,2001,15,East,Automatic Qualifier,Ralph Willard,22-8,1,First Round
Holy Cross,1993,13,East,Automatic Qualifier,George Blaney,23-7,1,First Round
Houston,2010,13,Midwest,Automatic Qualifier,Tom Penders,19-16,1,First Round
Houston,1992,10,Midwest,Automatic Qualifier,Pat Foster,25-6,1,First Round
Houston,1990,8,Southeast,At Large,Pat Foster,25-8,1,First Round
Houston,1987,12,Southeast,At Large,Pat Foster,18-12,1,First Round
Howard,1992,16,Midwest,Automatic Qualifier,Butch Beard,17-14,1,First Round
Idaho,1990,13,West,Automatic Qualifier,Kermit Davis Jr.,25-6,1,First Round
Idaho,1989,13,West,Automatic Qualifier,Kermit Davis Jr.,25-6,1,First Round
Idaho State,1987,16,West,Automatic Qualifier,Jim Boutin,15-16,1,First Round
Illinois,2013,7,East,At Large,John Groce,23-13,2,Second Round
Illinois,2011,9,Southwest,At Large,Bruce Weber,20-14,2,Second Round
Illinois,2009,5,South,At Large,Bruce Weber,24-10,1,First Round
Illinois,2007,12,West,At Large,Bruce Weber,23-12,1,First Round
Illinois,2006,4,East,At Large,Bruce Weber,26-7,2,Second Round
Illinois,2005,1,Midwest,Automatic Qualifier,Bruce Weber,37-2,6,National Championship
Illinois,2004,5,South,At Large,Bruce Weber,26-7,3,Sweet 16
Illinois,2003,4,West,Automatic Qualifier,Bill Self,25-7,2,Second Round
Illinois,2002,4,Midwest,At Large,Bill Self,26-9,3,Sweet 16
Illinois,2001,1,Midwest,At Large,Bill Self,27-8,4,Elite Eight
Illinois,2000,4,East,At Large,Lon Kruger,22-10,2,Second Round
Illinois,1998,5,West,At Large,Lon Kruger,23-10,2,Second Round
Illinois,1997,6,Southeast,At Large,Lon Kruger,22-10,2,Second Round
Illinois,1995,11,East,At Large,Lou Henson,19-12,1,First Round
Illinois,1994,8,Midwest,At Large,Lou Henson,17-11,1,First Round
Illinois,1993,6,West,At Large,Lou Henson,19-13,2,Second Round
Illinois,1990,5,Midwest,At Large,Lou Henson,21-8,1,First Round
Illinois,1989,1,Midwest,At Large,Lou Henson,31-5,5,Final Four
Illinois,1988,3,Southeast,At Large,Lou Henson,23-10,2,Second Round
Illinois,1987,3,Southeast,At Large,Lou Henson,23-8,1,First Round
Illinois,1986,4,Southeast,At Large,Lou Henson,22-10,2,Second Round
Illinois,1985,3,East,At Large,Lou Henson,26-9,3,Sweet 16
Illinois State,1998,9,West,Automatic Qualifier,Kevin Stallings,25-6,2,Second Round
Illinois State,1997,11,Midwest,Automatic Qualifier,Kevin Stallings,24-6,1,First Round
Illinois State,1990,14,West,Automatic Qualifier,Bob Bender,18-13,1,First Round
Illinois State,1985,9,Midwest,At Large,Bob Donewald,22-8,2,Second Round
Illinois-Chicago,2004,13,Midwest,Automatic Qualifier,Jimmy Collins,24-8,1,First Round
Illinois-Chicago,2002,15,West,Automatic Qualifier,Jimmy Collins,20-14,1,First Round
Illinois-Chicago,1998,9,East,At Large,Jimmy Collins,22-6,1,First Round
Indiana,2016,5,East,At Large,Tom Crean,-,3,Sweet 16
Indiana,2015,10,Midwest,At Large,Tom Crean,-,1,First Round
Indiana,2013,1,East,At Large,Tom Crean,29-7,3,Sweet 16
Indiana,2012,4,South,At Large,Tom Crean,27-9,3,Sweet 16
Indiana,2008,8,East,At Large,Dan Dakich,25-8,1,First Round
Indiana,2007,7,West,At Large,Kelvin Sampson,21-10,2,Second Round
Indiana,2006,6,West,At Large,Mike Davis,19-12,2,Second Round
Indiana,2003,7,Midwest,At Large,Mike Davis,21-13,2,Second Round
Indiana,2002,5,South,At Large,Mike Davis,25-12,6,National Championship
Indiana,2001,4,West,At Large,Mike Davis,21-13,1,First Round
Indiana,2000,6,East,At Large,Bob Knight,20-9,1,First Round
Indiana,1999,6,South,At Large,Bob Knight,23-11,2,Second Round
Indiana,1998,7,East,At Large,Bob Knight,20-12,2,Second Round
Indiana,1997,8,East,At Large,Bob Knight,22-11,1,First Round
Indiana,1996,6,Southeast,At Large,Bob Knight,19-12,1,First Round
Indiana,1995,9,West,At Large,Bob Knight,19-12,1,First Round
Indiana,1994,5,East,At Large,Bob Knight,21-9,3,Sweet 16
Indiana,1993,1,Midwest,Automatic Qualifier,Bob Knight,31-4,4,Elite Eight
Indiana,1992,2,West,At Large,Bob Knight,27-7,5,Final Four
Indiana,1991,2,Southeast,At Large,Bob Knight,29-5,3,Sweet 16
Indiana,1990,8,East,At Large,Bob Knight,18-11,1,First Round
Indiana,1989,2,West,Automatic Qualifier,Bob Knight,27-8,3,Sweet 16
Indiana,1988,4,East,At Large,Bob Knight,19-10,1,First Round
Indiana,1987,1,Midwest,Automatic Qualifier,Bob Knight,30-4,6,National Championship
Indiana,1986,3,East,At Large,Bob Knight,21-8,1,First Round
Indiana State,2011,14,East,Automatic Qualifier,Greg Lansing,20-14,1,First Round
Indiana State,2001,13,South,Automatic Qualifier,Royce Waltman,22-12,2,Second Round
Indiana State,2000,12,West,At Large,Royce Waltman,22-10,1,First Round
Iona,2017,14,Midwest,Automatic Qualifier,Tim Cluess,22-13,1,First Round
Iona,2016,13,Midwest,Automatic Qualifier,Tim Cluess,-,1,First Round
Iona,2013,15,West,Automatic Qualifier,Tim Cluess,20-14,1,First Round
Iona,2012,14,West,At Large,Tim Cluess,25-9,0,Play-In
Iona,2006,13,South,Automatic Qualifier,Jeff Ruland,23-8,1,First Round
Iona,2001,14,Midwest,Automatic Qualifier,Jeff Ruland,22-11,1,First Round
Iona,2000,14,Midwest,Automatic Qualifier,Jeff Ruland,20-11,1,First Round
Iona,1998,12,South,Automatic Qualifier,Tim Welsh,27-6,1,First Round
Iona,1985,13,East,Automatic Qualifier,Pat Kennedy,26-5,1,First Round
Iowa,2016,7,South,At Large,Fran McCaffery,-,2,Second Round
Iowa,2015,7,South,At Large,Fran McCaffery,-,2,Second Round
Iowa,2014,11,Midwest,At Large,Fran McCaffery,20-12,0,Play-In
Iowa,2006,3,South,Automatic Qualifier,Steve Alford,24-9,1,First Round
Iowa,2005,10,South,At Large,Steve Alford,21-12,1,First Round
Iowa,2001,7,East,Automatic Qualifier,Steve Alford,23-12,2,Second Round
Iowa,1999,5,West,At Large,Tom Davis,20-10,3,Sweet 16
Iowa,1997,8,West,At Large,Tom Davis,22-10,2,Second Round
Iowa,1996,6,West,At Large,Tom Davis,23-9,2,Second Round
Iowa,1993,4,Southeast,At Large,Tom Davis,23-9,2,Second Round
Iowa,1992,9,East,At Large,Tom Davis,19-11,2,Second Round
Iowa,1991,7,Midwest,At Large,Tom Davis,21-11,2,Second Round
Iowa,1989,4,East,At Large,Tom Davis,23-10,2,Second Round
Iowa,1988,5,West,At Large,Tom Davis,24-10,3,Sweet 16
Iowa,1987,2,West,At Large,Tom Davis,30-5,4,Elite Eight
Iowa,1986,11,Midwest,At Large,George Raveling,20-12,1,First Round
Iowa,1985,8,West,At Large,George Raveling,21-11,1,First Round
Iowa State,2017,5,Midwest,Automatic Qualifier,Steve Prohm,24-11,2,Second Round
Iowa State,2016,4,Midwest,At Large,Steve Prohm,-,3,Sweet 16
Iowa State,2015,3,South,Automatic Qualifier,Fred Hoiberg,-,1,First Round
Iowa State,2014,3,East,Automatic Qualifier,Fred Hoiberg,27-8,3,Sweet 16
Iowa State,2013,10,West,At Large,Fred Hoiberg,23-12,2,Second Round
